City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ambon,-3.6954,128.1814,299.19,95,98,5.66,ID,1692652740
1,keflavik,64.0049,-22.5624,283.39,62,100,5.14,IS,1692652741
2,grenaa,56.4158,10.8783,290.15,79,51,4.7,DK,1692652744
3,mancora,-4.1078,-81.0475,298.62,68,88,6.3,PE,1692652748
4,prado,-17.3411,-39.2208,297.05,89,31,4.79,BR,1692652750
5,taixing,32.1667,120.0136,296.49,96,100,2.93,CN,1692652750
6,port mathurin,-19.6833,63.4167,296.22,81,0,5.48,MU,1692652516
7,aasiaat,68.7098,-52.8699,278.37,87,100,1.53,GL,1692652755
8,blackmans bay,-43.0167,147.3167,281.89,90,56,1.98,AU,1692652555
9,puerto ayora,-0.7393,-90.3518,302.13,85,83,4.47,EC,1692652482
10,bethel,41.3712,-73.414,303.35,68,0,2.57,US,1692652565
11,ribeira grande,38.5167,-28.7,294.14,70,9,3.13,PT,1692652683
12,vorgashor,67.5833,63.95,281.98,61,92,3.49,RU,1692652626
13,la rinconada,37.4873,-5.9826,307.17,35,0,4.12,ES,1692652760
14,port elizabeth,-33.918,25.5701,288.31,77,20,3.6,ZA,1692652761
15,stanley,54.868,-1.6985,290.21,78,0,5.14,GB,1692652544
16,ambalangoda,6.2355,80.0538,300.11,81,96,3.61,LK,1692652763
17,puerto natales,-51.7236,-72.4875,274.16,85,100,0.5,CL,1692652477
18,margaret river,-33.95,115.0667,286.54,61,100,4.66,AU,1692652480
19,esmeraldas,-19.7625,-44.3139,295.73,43,57,2.02,BR,1692652765
20,tawau,4.2498,117.8871,298.22,84,100,2.32,MY,1692652649
21,riverhead,40.917,-72.662,304.17,73,75,3.09,US,1692652768
22,edinburgh of the seven seas,-37.0676,-12.3116,285.94,74,100,2.43,SH,1692652489
23,saint-philippe,-21.3585,55.7679,291.92,85,9,2.72,RE,1692652771
24,portland,45.5234,-122.6762,302.33,42,40,4.12,US,1692652229
25,port-aux-francais,-49.35,70.2167,274.8,75,100,9.55,TF,1692652481
26,gaziantep,37.0594,37.3825,300.11,42,0,0.0,TR,1692652776
27,adamstown,-25.066,-130.1015,291.85,66,100,12.87,PN,1692652501
28,broken hill,-31.95,141.4333,286.37,56,55,5.02,AU,1692652777
29,iqaluit,63.7506,-68.5145,285.0,76,75,6.17,CA,1692652570
30,ushuaia,-54.8,-68.3,277.96,81,100,6.17,AR,1692652433
31,mount pleasant,32.7941,-79.8626,307.23,70,0,4.63,US,1692652516
32,grytviken,-54.2811,-36.5092,268.11,87,87,2.94,GS,1692652495
33,wanlaweyn,2.6185,44.8938,298.16,84,40,5.41,SO,1692652783
34,albany,42.6001,-73.9662,298.38,94,100,3.14,US,1692652457
35,nguigmi,14.2495,13.1092,302.71,54,67,2.33,NE,1692652785
36,wailua homesteads,22.0669,-159.378,301.59,80,100,5.14,US,1692652499
37,bardai,11.65,7.2333,298.08,71,34,1.99,NG,1692652788
38,chunskiy,56.0815,99.6342,286.77,75,100,0.69,RU,1692652789
39,avarua,-21.2078,-159.775,297.18,73,75,4.63,CK,1692652577
40,labrador city,52.9463,-66.9114,285.1,71,75,4.63,CA,1692652791
41,coquimbo,-29.9533,-71.3436,292.0,63,0,4.63,CL,1692652669
42,weno,7.4515,151.8468,300.12,94,75,0.0,FM,1692652793
43,segorbe,39.8138,-0.4521,299.83,50,0,1.4,ES,1692652794
44,isafjordur,66.0755,-23.124,278.96,91,100,6.66,IS,1692652585
45,gaigeturi,33.4644,126.3183,300.18,78,75,1.54,KR,1692652795
46,san luis de la loma,17.2706,-100.8939,304.22,70,84,3.08,MX,1692652535
47,pingliang,35.5392,106.6861,293.16,44,100,2.02,CN,1692652797
48,longyearbyen,78.2186,15.6401,279.06,87,75,2.57,SJ,1692652568
49,kuching,1.55,110.3333,300.38,95,40,1.54,MY,1692652538
50,lebu,-37.6167,-73.65,284.27,80,100,4.61,CL,1692652800
51,viru,-8.4167,-78.75,297.57,66,58,4.38,PE,1692652801
52,tippi,7.2,35.45,291.26,83,100,1.54,ET,1692652803
53,hermanus,-34.4187,19.2345,287.48,83,12,8.57,ZA,1692652530
54,klyuchi,52.2667,79.1667,288.32,68,5,2.75,RU,1692652721
55,olonkinbyen,70.9221,-8.7187,279.78,82,94,3.54,SJ,1692652588
56,truth or consequences,33.1284,-107.2528,308.66,21,20,6.69,US,1692652808
57,yellowknife,62.456,-114.3525,295.05,53,75,1.79,CA,1692652481
58,funafuti,-8.5243,179.1942,301.93,73,71,8.84,TV,1692652810
59,ust-nera,64.5667,143.2,278.74,98,100,3.33,RU,1692652542
60,marand,38.4329,45.7749,297.12,31,62,2.22,IR,1692652813
61,gadzhiyevo,69.2551,33.3362,282.01,90,100,4.27,RU,1692652815
62,port lincoln,-34.7333,135.8667,283.44,68,8,4.7,AU,1692652816
63,lagoa,39.05,-27.9833,293.77,69,5,6.28,PT,1692652817
64,mystic island,39.5443,-74.3824,305.38,68,40,3.6,US,1692652818
65,okhotsk,59.3833,143.3,287.97,90,100,3.11,RU,1692652820
